City Council,1/7/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49194,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49314,http://www.youtube.com/watch?v=N8qkXutwoUY
Public Works (canceled),1/7/2014,1:00 PM,City Hall,--,--,
City Council,12/17/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49071,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49179,http://www.youtube.com/watch?v=fN3HbWMiDGc&list=TLsGGdH8gGuLRuM7AMGwUh4TTXf1AtDVTz
EDA,12/11/2013,7:00 AM,City Hall,--,--,
Library,12/9/2013,6:00 PM,City Hall,agendas/131209/packet.pdf,--,
Police,12/3/2013,after Council,City Hall,--,--,
City Council (amended),12/3/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48887,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49027,http://www.youtube.com/watch?v=VEYWK33DRmI
Public Works,12/3/2013,1:00 PM,City Hall,agendas/131203/agenda.pdf,--,
Planning,12/2/2013,6:30 PM,City Hall,agendas/131202/agenda.pdf,--,http://www.youtube.com/watch?v=iYjc7n71GwU
Trail Board,11/26/2013,7:00 PM,--,--,--,
Council Worksession,11/19/2013,after Council,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48698,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48870,http://www.youtube.com/watch?v=c7bfZsKQe2I&feature=youtu.be
City Council,11/19/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48708,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48869,http://www.youtube.com/watch?v=apaKZd6tUpM&feature=youtu.be
Cable,11/13/2013,5:30 PM,City Hall,agendas/131113/packet.pdf,--,
EDA,11/13/2013,7:00 AM,City Hall,agendas/131113eda/agenda.pdf,--,
Library,11/12/2013,6:00 PM,City Hall,agendas/131112/packet.pdf,--,
City Council,11/5/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48633,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48701,http://www.youtube.com/watch?v=7B_anpccQ5s
Public Works (canceled),11/5/2013,1:00 PM,City Hall,--,--,
Cable Public Forum,10/22/2013,7:00 PM,City Hall,--,--,
Trail Board,10/22/2013,7:00 PM,--,--,--,
City Council,10/15/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48465,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48624,http://www.youtube.com/watch?v=8Jb3Dewu1sQ
Planning,10/14/2013,6:30 PM,City Hall,agendas/131014/agenda.pdf,--,
Library,10/14/2013,6:00 PM,City Hall,agendas/1310014lib/packet.pdf,--,
EDA,10/9/2013,7:00 AM,City Hall,agendas/131009eda/agenda.pdf,--,
City Council,10/1/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48328,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48455,http://www.youtube.com/watch?v=H3A2imWTUCQ
Public Works,10/1/2013,1:00 PM,City Hall,--,--,
